# Time	(exposition).Flux	(recovery).Flux	(infection).Flux	
459	4290.1	5443.49	4523.93	
460	4179.98	5307.76	4408.39	
461	4072.45	5175.01	4295.53	
462	3967.46	5045.21	4185.3	
463	3864.98	4918.31	4077.67	
464	3764.93	4794.26	3972.59	
465	3667.29	4673.02	3870	
466	3572	4554.54	3769.86	
467	3479.02	4438.77	3672.12	
468	3388.3	4325.67	3576.74	
469	3299.78	4215.19	3483.66	
470	3213.44	4107.29	3392.85	
471	3129.22	4001.91	3304.24	
472	3047.08	3899.01	3217.81	
473	2966.96	3798.55	3133.5	
474	2888.84	3700.47	3051.26	
475	2812.67	3604.74	2971.06	
476	2738.4	3511.3	2892.85	
477	2665.99	3420.11	2816.59	
478	2595.4	3331.13	2742.23	
479	2526.59	3244.31	2669.74	
480	2459.52	3159.6	2599.07	
481	2394.15	3076.97	2530.18	
482	2330.44	2996.37	2463.03	
483	2268.36	2917.75	2397.58	
484	2207.86	2841.08	2333.8	
485	2148.91	2766.31	2271.63	
486	2091.48	2693.4	2211.06	
487	2035.52	2622.31	2152.04	
488	1981	2553.01	2094.53	
489	1927.9	2485.44	2038.5	
490	1876.17	2419.58	1983.92	
491	1825.77	2355.38	1930.74	
492	1776.69	2292.81	1878.94	
493	1728.89	2231.83	1828.48	
494	1682.33	2172.4	1779.34	
495	1636.99	2114.48	1731.47	
496	1592.84	2058.05	1684.85	
497	1549.85	2003.07	1639.45	
498	1507.98	1949.5	1595.24	
499	1467.21	1897.31	1552.18	
500	1427.52	1846.47	1510.26	
