time,tmp,ph,OD-680,OD-735,O2,H2

64.8,26.317,8.02,0.131,0.092,885.284
122.4,27.09,8.024,0.132,0.093,910.58
183.6,28.028,8.022,0.134,0.09,938.792
244.8,29.048,8.02,0.129,0.094,964.388
302.4,30.014,8.013,0.132,0.093,988.484
363.6,30.897,8.005,0.134,0.091,1004.824
424.8,31.697,8,0.132,0.091,1016.664
482.4,32.331,7.996,0.131,0.092,1026.856
543.6,32.855,7.989,0.133,0.094,1031.302
604.8,33.241,7.986,0.132,0.094,1033.926
662.4,33.6,7.981,0.134,0.095,1036.22
723.6,33.821,7.974,0.134,0.094,1034.732
784.8,33.986,7.972,0.132,0.094,1031.09
842.4,34.179,7.967,0.132,0.094,1031.382
903.6,34.207,7.964,0.13,0.094,1026.054
964.8,34.29,7.962,0.131,0.095,1021.65
1022.4,34.29,7.957,0.133,0.094,1018.924
1083.6,34.317,7.955,0.135,0.094,1016.32
1144.8,34.29,7.952,0.135,0.097,1014.366
1202.4,34.345,7.947,0.134,0.096,1010.636
1263.6,34.345,7.945,0.135,0.097,1009.732
1324.8,34.317,7.942,0.133,0.096,1007.486
1382.4,34.372,7.938,0.133,0.099,1007.7
1443.6,34.345,7.936,0.134,0.099,1005.456
1504.8,34.372,7.932,0.135,0.096,1006.17
1562.4,34.372,7.929,0.135,0.098,1005.99
1623.6,34.4,7.927,0.137,0.097,1003.626
1684.8,34.4,7.924,0.138,0.099,999.712
1742.4,34.428,7.919,0.135,0.101,1001.706
1803.6,34.455,7.917,0.135,0.099,998.844
1864.8,34.428,7.915,0.139,0.098,996.776
1922.4,34.483,7.912,0.137,0.1,996.984
1983.6,34.483,7.908,0.138,0.098,996.726
2044.8,34.51,7.904,0.137,0.098,997.438
2102.4,34.538,7.901,0.138,0.101,994.632
2163.6,34.566,7.899,0.137,0.101,995.448
2224.8,34.566,7.895,0.14,0.102,994.4
2282.4,34.593,7.892,0.139,0.099,994.912
2343.6,34.621,7.89,0.139,0.1,995.95
2404.8,34.648,7.886,0.137,0.101,995.854
2462.4,34.676,7.884,0.139,0.1,994.706
2523.6,34.703,7.881,0.141,0.1,994.742
2584.8,34.703,7.879,0.14,0.106,993.428
2642.4,34.703,7.875,0.141,0.104,993.162
2703.6,34.703,7.872,0.141,0.099,991.73
2764.8,34.676,7.87,0.139,0.1,990.254
2822.4,34.676,7.866,0.142,0.102,986.622
2883.6,34.648,7.863,0.143,0.104,986.824
2944.8,34.676,7.86,0.141,0.101,985.016
3002.4,34.703,7.858,0.139,0.103,983.748
3063.6,34.676,7.855,0.141,0.103,984.14
3124.8,34.703,7.852,0.144,0.1,981.426
3182.4,34.731,7.85,0.145,0.104,984.636
3243.6,34.703,7.848,0.143,0.102,985.614
3304.8,34.731,7.844,0.143,0.107,983.29
3362.4,34.731,7.845,0.142,0.104,982.77
3423.6,34.731,7.839,0.142,0.105,982.19
3484.8,34.731,7.837,0.144,0.105,982.64
3542.4,34.731,7.835,0.143,0.102,980.688
3603.6,34.759,7.831,0.146,0.107,982.742
3664.8,34.759,7.83,0.147,0.106,983.368
3722.4,34.759,7.828,0.144,0.106,978.926
3783.6,34.759,7.825,0.146,0.108,982.99
3844.8,34.786,7.824,0.144,0.105,981.52
3902.4,34.786,7.82,0.146,0.107,981.822
3963.6,34.786,7.819,0.144,0.106,982.848
4024.8,34.814,7.816,0.147,0.104,983.132
4082.4,34.814,7.813,0.149,0.108,983.122
4143.6,34.786,7.812,0.145,0.106,979.696
4204.8,34.814,7.809,0.147,0.108,980.836
4262.4,34.814,7.807,0.147,0.108,979.042
4323.6,34.814,7.804,0.148,0.107,984.1
4384.8,34.814,7.804,0.148,0.109,977.306
4442.4,34.841,7.8,0.147,0.107,979.776
4503.6,34.841,7.799,0.15,0.109,979.576
4564.8,34.869,7.796,0.15,0.111,979.886
4622.4,34.841,7.795,0.149,0.108,980.532
4683.6,34.841,7.791,0.151,0.11,979.32
4744.8,34.841,7.788,0.148,0.11,979.484
4802.4,34.869,7.788,0.148,0.109,976.884
4863.6,34.869,7.786,0.149,0.108,978.304
4924.8,34.897,7.784,0.147,0.109,978.204
4982.4,34.924,7.783,0.147,0.11,980.098
5043.6,34.897,7.779,0.15,0.111,977.976
5104.8,34.924,7.778,0.148,0.112,980.64
5162.4,34.924,7.775,0.149,0.11,980.788
5223.6,34.924,7.774,0.15,0.114,978.474
5284.8,34.924,7.772,0.151,0.109,981.25
5342.4,34.924,7.77,0.152,0.112,981.368
5403.6,34.952,7.768,0.149,0.111,979.46
5464.8,34.979,7.767,0.15,0.113,979.968
5522.4,34.952,7.765,0.149,0.107,980.144
5583.6,34.952,7.763,0.15,0.11,979.924
5644.8,34.952,7.761,0.15,0.114,979.1
5702.4,34.952,7.76,0.149,0.11,978.778
5763.6,34.952,7.757,0.15,0.109,982.064
5824.8,34.952,7.757,0.151,0.111,982.32
5882.4,34.924,7.755,0.149,0.111,979.542
5943.6,34.952,7.753,0.154,0.109,980.4
6004.8,34.952,7.751,0.152,0.111,980.67
6062.4,34.952,7.75,0.154,0.112,982.362
6123.6,34.979,7.748,0.151,0.112,982.178
